Code,Name,Sector,EPS,signal_v2,gap_market_v2,price_B_base,price_C_base,price_B_3m,price_B_6m,price_B_9m,price_B_12m,price_C_3m,price_C_6m,price_C_9m,price_C_12m,per_B,per_C,sector_per_B,sector_per_C,gap_market_B,gap_market_C,gap_sector_B,gap_sector_C,ret_B_3m,ret_C_3m,ret_B_6m,ret_C_6m,ret_B_9m,ret_C_9m,ret_B_12m,ret_C_12m
005930,삼성전자,IT/전자,4950.0,중립,-0.1788,60200,60200,59800,83900,119900,179700,59200,80500,107600,199400,12.16161616161616,12.16161616161616,14.901788649522647,15.99594205336305,-0.26961320661611915,-0.2870991756027994,-0.1838821199490212,-0.23970616291028296,-0.6644518272425249,-1.6611295681063125,39.3687707641196,33.72093023255814,99.16943521594685,78.7375415282392,198.50498338870432,231.22923588039868
000660,SK하이닉스,IT/전자,28732.0,중립,-0.0829,199300,210000,292000,347500,651000,922000,246000,353000,552000,1007000,6.936516775720451,7.308923847974384,14.901788649522647,15.99594205336305,-0.5834155446327877,-0.5715587659210527,-0.5345178395116582,-0.5430763737708261,46.512794781736076,17.142857142857142,74.36026091319619,68.0952380952381,226.64325137982942,162.85714285714286,362.6191670847968,379.5238095238095
005380,현대차,자동차/부품,47369.0,강력매도,2.0301,205000,202500,203500,215000,296500,495000,207000,218500,282500,517000,4.327724883362537,4.274947750638603,4.595720406172392,4.440498387196269,-0.7400910324580793,-0.7494071729295377,-0.05831414862616907,-0.0372819945245368,-0.7317073170731708,2.2222222222222223,4.878048780487805,7.901234567901234,44.63414634146341,39.50617283950617,141.46341463414635,155.30864197530866
402340,SK스퀘어,지주,27772.0,매도,0.2345,96000,98900,183000,201500,368000,544000,148400,208500,290500,608000,3.4567189975514907,3.561140717269192,10.02809407140721,10.94131257064717,-0.7924007902650939,-0.7912497714614378,-0.6552965126835492,-0.6745234454938387,90.625,50.05055611729019,109.89583333333333,110.81900910010111,283.33333333333337,193.7310414560162,466.6666666666667,514.7623862487361
207940,삼성바이오로직스,바이오/제약,15221.0,강력매수,-0.6903,1543859,1577710,1459970,1467329,1695000,1606000,1470272,1514425,1738000,1601000,101.42953813809868,103.65350502595099,37.64272473142917,37.11564576598498,5.091525511955399,5.076056685449605,1.6945323129973044,1.792717272912043,-5.4337216028147655,-6.809743235448846,-4.9570589023997655,-4.011193438591376,9.789818888901124,10.159661788288087,4.025043737802481,1.4761901743666455
012450,한화에어로스페이스,방산/중공업,45935.0,매도,0.0829,620364,710957,848000,1107000,941000,1335000,934000,1023000,851000,1320000,13.505257428975726,15.477457276586481,21.642561983471076,25.0,-0.18891851738374735,-0.09272814522172389,-0.37598619612178985,-0.38090170893654074,36.69394097658794,31.37222082348159,78.44362342108826,43.890558782036045,51.68513969218071,19.69781576100946,115.19623962705768,85.66523713811102
000270,기아,자동차/부품,24893.0,강력매도,3.9617,95300,96000,96900,100700,121800,155800,98200,102100,120400,168500,3.828385489896758,3.856505845016671,4.595720406172392,4.440498387196269,-0.7700797192869567,-0.7739357861924454,-0.16696727573876038,-0.1315150893565194,1.6789087093389297,2.2916666666666665,5.6663168940188875,6.354166666666666,27.806925498426022,25.416666666666664,63.48373557187828,75.52083333333334
329180,HD현대중공업,방산/중공업,7001.0,강력매수,-0.573,280000,300000,428500,515000,509000,498500,430500,499500,504000,559000,39.99428653049564,42.851021282673905,21.642561983471076,25.0,1.4019257230696016,1.5118806573665626,0.8479460315761231,0.7140408513069562,53.035714285714285,43.5,83.92857142857143,66.5,81.78571428571428,68.0,78.03571428571429,86.33333333333333
068270,셀트리온,바이오/제약,2048.0,강력매수,-0.6771,170584,179446,159600,173400,181000,206000,160200,168500,182100,202000,83.29296875,87.6201171875,37.64272473142917,37.11564576598498,4.002302617372835,4.1361967806462285,1.2127242207962676,1.3607326608284522,-6.439056417952446,-10.725232103251118,1.6507996060591847,-6.0998852022335415,6.106082633775735,1.4789964669036924,20.761618909159125,12.568683615126556
055550,신한지주,지주,8441.0,강력매도,1.9518,47800,47550,61400,70800,76900,93500,59400,69000,76200,97900,5.662836156853453,5.633218812936856,10.02809407140721,10.94131257064717,-0.6599086266908747,-0.6697867880070615,-0.4353028485243552,-0.4851423193914242,28.451882845188287,24.9211356466877,48.11715481171548,45.110410094637224,60.87866108786611,60.252365930599375,95.60669456066945,105.88853838065195
