feature,importance
yoy_growth_pct,0.2749000484108777
gap_sector_B,0.22781961479
sector_per_B,0.13839436302352165
EPS,0.12908610217716185
debt_ratio,0.10738005233969924
gap_market_B,0.06460071656587858
per_B,0.057819102692860995
