Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector
064350,현대로템,KOSPI,19656526969300,302926,3728.0,,4376597857000.0,829047638000.0,,405259414000.0,5285394740000.0,3686316730000.0,3019853718000.0,3276309551000.0,2009085189000.0,2024.0,CFS,자동차/부품
096770,SK이노베이션,KOSPI,19255112553200,631518,-21541.0,-21541.0,74716970174000.0,4039022327000.0,315488338000.0,-2372482956000.0,110530097549000.0,36318431920000.0,37725576071000.0,70881188555000.0,39648908994000.0,2024.0,CFS,에너지/화학
000150,두산,KOSPI,19205888310000,117212,-12665.0,-12665.0,,2962142000000.0,1003759000000.0,302227000000.0,30143063000000.0,11912646000000.0,11024159000000.0,30143063000000.0,11889482000000.0,2024.0,CFS,지주
000720,현대건설,KOSPI,18262345460000,164478,-1501.0,,32670268000000.0,-216933000000.0,-1263420000000.0,-766221000000.0,27005385000000.0,21100663000000.0,14663775000000.0,27005385000000.0,9669413000000.0,2024.0,CFS,건설/부동산
047810,한국항공우주,KOSPI,18101127369900,309503,1765.0,1765.0,3633742105840.0,481490443379.0,240718310400.0,170895410977.0,8025538409393.0,5439008063568.0,4914742846130.0,8025538409393.0,1727176882121.0,2024.0,CFS,운송/물류
033780,KT&G,KOSPI,18061571587500,244455,11383.0,11383.0,,2902024000000.0,1188814000000.0,1164999000000.0,13925237000000.0,7176310000000.0,3142888000000.0,4566772000000.0,9358465000000.0,2024.0,CFS,IT/전자
003670,포스코퓨처엠,KOSPI,17718087024000,155276,-2752.0,-2752.0,3699944235821.0,235943884898.0,721245866.0,-231338259262.0,7932459834018.0,2112748442946.0,1570069945473.0,7932459834018.0,3320505865578.0,2024.0,CFS,에너지/화학
030200,KT,KOSPI,15297716279500,190321,1908.0,1906.0,,,809471000000.0,417094000000.0,41879957000000.0,14251937000000.0,13874734000000.0,23883408000000.0,17996549000000.0,2024.0,CFS,IT/전자
079550,LIG넥스원,KOSPI,14542000000000,503668,10173.0,,3276339508425.0,452627287247.0,229779392271.0,216648719554.0,6125264653217.0,3894568274428.0,4616518043951.0,6125264653217.0,1237435235062.0,2024.0,CFS,방산/중공업
047050,포스코인터내셔널,KOSPI,13546054676000,124504,3019.0,3019.0,32340793124000.0,1895983188000.0,1116921237000.0,503409725000.0,,8268175054000.0,6659697291000.0,,7349462921000.0,2024.0,CFS,유통/소비재
278470,에이피알,KOSPI,13459016722500,1190568,2875.0,2819.0,722753862301.0,543599699569.0,122705544449.0,107590435967.0,565143563187.0,286027445388.0,145136758580.0,241619489197.0,323524073990.0,2024.0,CFS,유통/소비재
010950,S-Oil,KOSPI,12586756145600,138279,-1659.0,-1659.0,36637031000000.0,1225859000000.0,422177000000.0,-193042000000.0,24451433000000.0,10048039000000.0,11656683000000.0,15755786000000.0,8695647000000.0,2024.0,CFS,에너지/화학
018260,삼성에스디에스,KOSPI,12581630280000,126186,9787.0,9787.0,13828232033800.0,2012332154316.0,911096907001.0,789501325293.0,13238330251696.0,9003786950710.0,2495408581399.0,3532880772221.0,9705449479475.0,2024.0,CFS,IT/전자
323410,카카오뱅크,KOSPI,11973802818700,1133217,924.0,923.0,,,606880000000.0,440065000000.0,62805282000000.0,,,56265151000000.0,6540131000000.0,2024.0,OFS,IT/전자
259960,크래프톤,KOSPI,11163781180500,760971,28593.0,28384.0,,,1182487684188.0,1302592653712.0,7919463568015.0,5004427032417.0,784829947760.0,1090331965788.0,6829131602227.0,2024.0,CFS,엔터/미디어
003490,대한항공,KOSPI,9702614417350,113526,3566.0,3566.0,,3758168388895.0,2110200077994.0,1381858075058.0,47012065940089.0,11616873056353.0,16973485891743.0,47012065940089.0,10963191867177.0,2024.0,CFS,운송/물류
006260,LS,KOSPI,9469200000000,105952,8677.0,8677.0,,2661201000000.0,1072943000000.0,391515000000.0,20527939000000.0,12938266000000.0,10546216000000.0,20527939000000.0,6881153000000.0,2024.0,CFS,소재/철강
007660,이수페타시스,KOSPI,9308288969200,107613,1171.0,,836866961285.0,156600343429.0,101878836049.0,74034111779.0,790136366426.0,522697354400.0,377363096552.0,790136366426.0,327526708412.0,2024.0,CFS,IT/전자
009830,한화솔루션,KOSPI,8886844111200,162461,-6613.0,-6613.0,12394023649010.0,1385855326596.0,-300237959946.0,,30036831374114.0,10882665025254.0,11707552341331.0,19429975219652.0,10606856154462.0,2024.0,CFS,에너지/화학
180640,한진칼,KOSPI,8679096270000,983040,7459.0,,,116726983000.0,49192742000.0,512176366000.0,4207157981000.0,539972243000.0,672904948000.0,4207157981000.0,3313160945000.0,2024.0,CFS,운송/물류
003230,삼양식품,KOSPI,8670500265000,126955,36468.0,36468.0,1728015003746.0,723217308822.0,344569150443.0,271255665463.0,1594782196967.0,676663603748.0,492425282678.0,1594782196967.0,828033342607.0,2024.0,CFS,유통/소비재
090430,아모레퍼시픽,KOSPI,8235780467200,583424,8606.0,8606.0,3885110699186.0,2746732498324.0,220481343913.0,601641373835.0,6783507800768.0,1734808826757.0,1095705144331.0,1457499911662.0,5326007889106.0,2024.0,CFS,유통/소비재
443060,HD현대마린솔루션,KOSPI,8190684904500,1194689,5304.0,5275.0,1745458578779.0,362176072235.0,271729951500.0,227940276635.0,1152227968481.0,1075525917500.0,342617751499.0,1152227968481.0,773534561558.0,2024.0,CFS,방산/중공업
000100,유한양행,KOSPI,7988654380300,145109,943.0,943.0,2067791451854.0,689386389746.0,54880319609.0,55163455235.0,2942048836634.0,1360261256866.0,619136487792.0,791378826075.0,2150670010559.0,2024.0,CFS,바이오/제약
047040,대우건설,KOSPI,7942548612180,124540,570.0,569.0,10503609086034.0,927546410982.0,403125613881.0,242849735359.0,12658456266814.0,9588714887380.0,4543987487164.0,8324364439243.0,4334091827571.0,2024.0,CFS,건설/부동산
