Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group,sector_median_per,fair_price_market,gap_market,fair_price_sector,gap_sector,signal
006400,삼성SDI,KOSPI,32274504765000,126362,8188.0,9011.0,16592248884388.0,3093563995780.0,363304463263.0,575512415979.0,40597344536357.0,10334312926481.0,10855694147360.0,19030107423830.0,21567237112527.0,2024.0,CFS,에너지/화학,397500.0,48.546653639472396,일반,21.64492968101053,278995.1415646151,-0.29812543002612546,177228.68422811423,-0.5541416748978258,— 고평가
015760,한국전력,KOSPI,31552534384550,159193,5439.0,5439.0,93398896000000.0,11434736000000.0,8364710000000.0,3621968000000.0,246807795000000.0,29255205000000.0,63968789000000.0,246807795000000.0,41362833000000.0,2024.0,CFS,에너지/화학,46750.0,8.595330023901452,일반,21.64492968101053,185326.6456973549,2.96420632507711,117726.77253501628,1.5182197333693321,🔥 강력
009540,HD한국조선해양,KOSPI,28627725422000,164830,16578.0,,25538577356000.0,2595367428000.0,1434090492000.0,1454580111000.0,36719137422000.0,20431356435000.0,19325058391000.0,22563324218000.0,14155813204000.0,2024.0,CFS,방산/중공업,379500.0,22.89178429243576,일반,42.05529677716929,564873.1627818991,0.48846683209986586,697192.7099719124,0.8371349406374504,🔥 강력
010120,LS ELECTRIC,KOSPI,26580000000000,105855,8078.0,8078.0,,907590799908.0,389717122317.0,242237998768.0,4485197464384.0,3052191652183.0,1846349798510.0,2595105380936.0,1890092083448.0,2024.0,CFS,소재/철강,813000.0,100.64372369398366,일반,60.75709779179811,275247.0387834589,-0.6614427567239128,490795.8359621451,-0.3963150849174107,— 고평가
272210,한화시스템,KOSPI,25693036904000,339391,2591.0,2589.0,2803686058274.0,415792516415.0,219345297682.0,445378843124.0,5724010115718.0,2286147317733.0,2677051475212.0,5724010115718.0,2416416895456.0,2024.0,CFS,IT/전자,127300.0,49.13160941721343,일반,47.67864352038757,88284.85732705396,-0.3064818748856719,123535.36536132419,-0.02957293510350203,— 고평가
298040,효성중공업,KOSPI,25502638780000,1316245,23909.0,,4894979612220.0,791772345743.0,362479487133.0,222929444192.0,6218812921202.0,3036422654447.0,3092775159627.0,4163194426688.0,2055618494514.0,2024.0,CFS,소재/철강,2701000.0,112.9700112928186,일반,60.75709779179811,814667.1763151421,-0.6983831261328611,1452641.451104101,-0.4621838389099959,— 고평가
267250,HD현대,KOSPI,20972664067500,1205709,7203.0,,67765626088000.0,6426904974000.0,2983162778000.0,1930179481000.0,73866670219000.0,35592849734000.0,32333112202000.0,73866670219000.0,26385102145000.0,2024.0,CFS,방산/중공업,255000.0,35.40191586838817,일반,42.05529677716929,245432.58484244294,-0.03751927512767474,302924.3026859504,0.1879384419056879,⚠️ 주의
011200,HMM,KOSPI,20043806862500,164645,4999.0,3690.0,11700224000000.0,3963464000000.0,3512847000000.0,3782129000000.0,33848562000000.0,17996844000000.0,2357189000000.0,5993018000000.0,27855544000000.0,2024.0,CFS,운송/물류,19930.0,3.986797359471894,일반,9.53266022607123,170334.23457272974,7.546624915841933,47653.768470130075,1.3910571234385387,🔥 강력
064350,현대로템,KOSPI,19656526969300,302926,3728.0,,4376597857000.0,829047638000.0,,405259414000.0,5285394740000.0,3686316730000.0,3019853718000.0,3276309551000.0,2009085189000.0,2024.0,CFS,자동차/부품,177900.0,47.71995708154506,일반,8.09921390982161,127026.6106195512,-0.2859662134932479,30193.869455814965,-0.8302761694445476,— 고평가
047810,한국항공우주,KOSPI,18101127369900,309503,1765.0,1765.0,3633742105840.0,481490443379.0,240718310400.0,170895410977.0,8025538409393.0,5439008063568.0,4914742846130.0,8025538409393.0,1727176882121.0,2024.0,CFS,운송/물류,176300.0,99.88668555240793,일반,9.53266022607123,60140.01280673494,-0.6588768417088205,16825.14529901572,-0.9045652563867514,— 고평가
