Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group
310210,보로노이,KOSDAQ,5968697564500,1327746,-1860.0,-1860.0,,,-36339049690.0,-32613098090.0,73658644252.0,56455763879.0,6770470705.0,73658644252.0,66412537872.0,2024.0,CFS,바이오/제약,306500.0,-164.78494623655914,적자
108490,로보티즈,KOSDAQ,3824362008000,946030,-244.0,-244.0,30038231053.0,16249623318.0,-2973503944.0,-3038577530.0,100246445003.0,53196902516.0,3851569684.0,100246445003.0,96006772289.0,2024.0,CFS,IT/전자,259000.0,-1061.4754098360656,적자
226950,올릭스,KOSDAQ,3773489132700,1113718,-2414.0,-2414.0,,,-30918594163.0,-40658699598.0,71249226328.0,15534061431.0,30060339329.0,71249226328.0,18472649178.0,2024.0,CFS,바이오/제약,184300.0,-76.34631317315659,적자
347850,디앤디파마텍,KOSDAQ,3400117083000,1376715,-2823.0,-2823.0,,,-25016868135.0,-29483232915.0,97499966012.0,39794379528.0,11114604098.0,97499966012.0,69569189929.0,2024.0,CFS,바이오/제약,73700.0,-26.10697839178179,적자
140410,메지온,KOSDAQ,2782914897200,808022,-653.0,-653.0,8611620880.0,,-14299550646.0,-19476774574.0,73997678716.0,41925551798.0,26670294572.0,73997678716.0,46062511803.0,2024.0,CFS,바이오/제약,87300.0,-133.6906584992343,적자
475830,오름테라퓨틱,KOSDAQ,2681648078400,1658831,-424.0,-556.0,,,-8335353372.0,-5740128540.0,153836050957.0,122510410471.0,31863567335.0,32071321241.0,121764729716.0,2024.0,CFS,바이오/제약,110600.0,-260.8490566037736,적자
030530,원익홀딩스,KOSDAQ,2653124647350,216647,-976.0,-976.0,645472610486.0,177241883424.0,30614449862.0,-61062837204.0,1890071698739.0,363038309672.0,574057113202.0,641601852997.0,1248469845742.0,2024.0,CFS,지주,32900.0,-33.709016393442624,적자
458870,씨어스테크놀로지,KOSDAQ,2320375482000,1514227,-752.0,-752.0,8099754810.0,3435750615.0,-8681501062.0,-8871453219.0,28083739034.0,16442253238.0,3879868600.0,28083739034.0,21398870839.0,2024.0,OFS,IT/전자,54600.0,-72.6063829787234,적자
067310,하나마이크론,KOSDAQ,2308384328500,445054,-428.0,-428.0,1250692575645.0,190157914448.0,106792878899.0,-11157290055.0,1944648852618.0,615552798363.0,620248022180.0,1944648852618.0,605829084189.0,2024.0,CFS,IT/전자,32650.0,-76.28504672897196,적자
089030,테크윙,KOSDAQ,2149111410000,535676,-584.0,-584.0,185507171034.0,71485636656.0,23411077264.0,-21970453220.0,506220625653.0,156076110331.0,218505563731.0,506220625653.0,188303434692.0,2024.0,CFS,IT/전자,53300.0,-91.26712328767124,적자
