Code,Name,Market,Marcap,corp_code,stock_code
018880,한온시스템,KOSPI,4248726965280,00161125,018880
082740,한화엔진,KOSPI,4093082315100,00361008,082740
353200,대덕전자,KOSPI,4091721390000,01478712,353200
103590,일진전기,KOSPI,3938813214000,00683469,103590
051900,LG생활건강,KOSPI,3909778274500,00356370,051900
035250,강원랜드,KOSPI,3891577695000,00255619,035250
031210,서울보증보험,KOSPI,3889063008600,00112998,031210
000990,DB하이텍,KOSPI,3832754202800,00160843,000990
010060,OCI홀딩스,KOSPI,3790057096000,00148896,010060
011790,SKC,KOSPI,3764108821200,00139889,011790
111770,영원무역,KOSPI,3731025605600,00776820,111770
012510,더존비즈온,KOSPI,3626102026000,00172291,012510
011170,롯데케미칼,KOSPI,3601690279800,00165413,011170
439260,대한조선,KOSPI,3513599654400,00182696,439260
036460,한국가스공사,KOSPI,3480200100000,00261285,036460
017800,현대엘리베이터,KOSPI,3471403788000,00164724,017800
001720,신영증권,KOSPI,3435960000000,00136721,001720
011780,금호석유화학,KOSPI,3433586769800,00106368,011780
004990,롯데지주,KOSPI,3399059278800,00120562,004990
012750,에스원,KOSPI,3378126924200,00158501,012750
302440,SK바이오사이언스,KOSPI,3360926937850,01319899,302440
014680,한솔케미칼,KOSPI,3342837330000,00140955,014680
004170,신세계,KOSPI,3317942264000,00136378,004170
023530,롯데쇼핑,KOSPI,3210773692500,00120526,023530
097950,CJ제일제당,KOSPI,3191487432000,00635134,097950
009970,영원무역홀딩스,KOSPI,3064326799000,00140964,009970
085620,미래에셋생명,KOSPI,3046448612690,00112332,085620
051600,한전KPS,KOSPI,3037500000000,00159218,051600
009420,한올바이오파마,KOSPI,2951596047000,00162586,009420
005850,에스엘,KOSPI,2930901612000,00125521,005850
028670,팬오션,KOSPI,2849255498960,00122737,028670
001450,현대해상,KOSPI,2798220000000,00164973,001450
112610,씨에스윈드,KOSPI,2787529738300,00670340,112610
139480,이마트,KOSPI,2778898973300,00872984,139480
