Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div
034730,SK,KOSPI,26100973080000,00181712,-23455.0,-23525.0,124690439000000.0,10691527000000.0,2355290000000.0,,214977754000000.0,67462864000000.0,71532821000000.0,134690218000000.0,80287536000000.0,2024,CFS
272210,한화시스템,KOSPI,25693036904000,00339391,2591.0,2589.0,2803686058274.0,415792516415.0,219345297682.0,445378843124.0,5724010115718.0,2286147317733.0,2677051475212.0,5724010115718.0,2416416895456.0,2024,CFS
298040,효성중공업,KOSPI,25502638780000,01316245,23909.0,,4894979612220.0,791772345743.0,362479487133.0,222929444192.0,6218812921202.0,3036422654447.0,3092775159627.0,4163194426688.0,2055618494514.0,2024,CFS
010140,삼성중공업,KOSPI,25124000000000,00126478,,,9903077919464.0,920562045854.0,502698683088.0,53877228765.0,17194637128138.0,9369985101261.0,12029241642640.0,17194637128138.0,3749451105353.0,2024,CFS
316140,우리금융지주,KOSPI,24885187248000,01350869,,3950.0,,,4255190000000.0,3171469000000.0,525753320000000.0,,,525753320000000.0,35895269000000.0,2024,CFS
035720,카카오,KOSPI,22138321400000,00258801,126.0,92.0,,,460212161525.0,-161870567171.0,25773028304462.0,10958808525169.0,8632656976873.0,25773028304462.0,13942894159737.0,2024,CFS
051910,LG화학,KOSPI,21883626330000,00356361,-8826.0,-8826.0,,7536390000000.0,916798000000.0,515011000000.0,,27815627000000.0,21085717000000.0,,47995463000000.0,2024,CFS
000810,삼성화재,KOSPI,21832293047500,00139214,48779.0,48779.0,,,48779.0,2076797712983.0,87269492540789.0,,,87269492540789.0,15602214746140.0,2024,CFS
267250,HD현대,KOSPI,20972664067500,01205709,7203.0,,67765626088000.0,6426904974000.0,2983162778000.0,1930179481000.0,73866670219000.0,35592849734000.0,32333112202000.0,73866670219000.0,26385102145000.0,2024,CFS
011200,HMM,KOSPI,20043806862500,00164645,4999.0,3690.0,11700224000000.0,3963464000000.0,3512847000000.0,3782129000000.0,33848562000000.0,17996844000000.0,2357189000000.0,5993018000000.0,27855544000000.0,2024,CFS
064350,현대로템,KOSPI,19656526969300,00302926,3728.0,,4376597857000.0,829047638000.0,,405259414000.0,5285394740000.0,3686316730000.0,3019853718000.0,3276309551000.0,2009085189000.0,2024,CFS
