Code,Name,Market,EPS,price,PER,fair_price,gap
005930,삼성전자,KOSPI,4950.0,199400,40.282828282828284,96115.18822061858,-0.5179779928755337
000660,SK하이닉스,KOSPI,28732.0,1007000,35.04803007100097,557895.2702939017,-0.4459828497577938
005380,현대차,KOSPI,47369.0,517000,10.914311047309422,919773.808246966,0.7790595904196634
402340,SK스퀘어,KOSPI,27772.0,608000,21.892553651159442,539254.7489420241,-0.11306784713482883
207940,삼성바이오로직스,KOSPI,15221.0,1601000,105.18362788253071,295549.34947596677,-0.815397033431626
034020,두산에너빌리티,KOSPI,174.0,109600,629.8850574712644,3378.5944950278044,-0.9691734078920821
012450,한화에어로스페이스,KOSPI,45935.0,1320000,28.73625775552411,891929.5294775988,-0.32429581100181903
000270,기아,KOSPI,24893.0,168500,6.76897119672197,483352.602096133,1.8685614367723027
329180,HD현대중공업,KOSPI,7001.0,559000,79.84573632338237,135939.88540051528,-0.7568159474051604
105560,KB금융,KOSPI,12880.0,155200,12.049689440993788,250093.6614710237,0.6114282311277299
068270,셀트리온,KOSPI,2048.0,202000,98.6328125,39766.44555067209,-0.8031364081649897
055550,신한지주,KOSPI,8441.0,97900,11.598151877739605,163900.6674283316,0.6741641208205474
032830,삼성생명,KOSPI,11732.0,231500,19.73235594953972,227802.7046877368,-0.015971038065931698
012330,현대모비스,KOSPI,44939.0,400500,8.912080820668017,872589.9885750259,1.1787515320225366
009150,삼성전기,KOSPI,8988.0,464500,51.68001780151313,174521.8811569535,-0.6242801266804014
267260,HD현대일렉트릭,KOSPI,13935.0,959000,68.81951919626839,270578.8177483475,-0.7178531618891059
010130,고려아연,KOSPI,9488.0,1587000,167.26391231028668,184230.48602772306,-0.8839127372226067
006400,삼성SDI,KOSPI,8188.0,400500,48.91304347826087,158988.11336372222,-0.6030259341729782
015760,한국전력,KOSPI,5439.0,49150,9.036587608016179,105610.2037842312,1.148732528672049
086790,하나금융지주,KOSPI,12629.0,113200,8.963496713912424,245219.94182589737,1.1662539030556305
042700,한미반도체,KOSPI,1589.0,309500,194.7765890497168,30853.94627930564,-0.9003103512784956
009540,HD한국조선해양,KOSPI,16578.0,404500,24.399806973096876,321898.5030952353,-0.20420642003650105
010120,LS ELECTRIC,KOSPI,8078.0,886000,109.68061401336965,156852.2202921529,-0.8229658913181119
034730,SK,KOSPI,-23455.0,360000,-15.348539756981454,-455430.65448779974,-2.265085151354999
272210,한화시스템,KOSPI,2591.0,136000,52.4893863373215,50309.99044032783,-0.6300735997034719
298040,효성중공업,KOSPI,23909.0,2735000,114.39206993182484,464246.06771045853,-0.8302573792649147
035720,카카오,KOSPI,126.0,50000,396.8253968253968,2446.5684274339274,-0.9510686314513214
051910,LG화학,KOSPI,-8826.0,310000,-35.123498753682306,-171376.29317882415,-1.5528267521897552
000810,삼성화재,KOSPI,48779.0,474500,9.72754669017405,947152.0739825361,0.9961055299948074
267250,HD현대,KOSPI,7203.0,265500,36.85964181591004,139862.1617683062,-0.4732121967295435
011200,HMM,KOSPI,4999.0,21250,4.250850170034007,97066.631497954,3.567841482256659
064350,현대로템,KOSPI,3728.0,180100,48.31008583690987,72387.3579164578,-0.5980713052945152
096770,SK이노베이션,KOSPI,-21541.0,113900,-5.287591105334014,-418266.1150424939,-4.672222256738314
024110,기업은행,KOSPI,3106.0,24100,7.759175788795879,60309.853457220466,1.502483545942758
000150,두산,KOSPI,-12665.0,1186000,-93.64390051322542,-245918.96137659278,-1.207351569457498
138040,메리츠금융지주,KOSPI,12259.0,110100,8.981156701199119,238035.5742215279,1.1619943162718247
000720,현대건설,KOSPI,-1501.0,164000,-109.26049300466356,-29145.2318220502,-1.177714828183233
047810,한국항공우주,KOSPI,1765.0,185700,105.21246458923513,34271.37519381652,-0.8154476295432606
033780,KT&G,KOSPI,11383.0,157500,13.836422735658438,221026.09848793966,0.4033403078599343
003670,포스코퓨처엠,KOSPI,-2752.0,199200,-72.38372093023256,-53436.161208715625,-1.2682538213288939
030200,KT,KOSPI,1908.0,60700,31.81341719077568,37048.03618685662,-0.38965344008473446
079550,LIG넥스원,KOSPI,10173.0,661000,64.97591664209182,197531.27470067734,-0.7011629732213656
047050,포스코인터내셔널,KOSPI,3019.0,77000,25.505134150380922,58620.55620970656,-0.23869407519861607
278470,에이피알,KOSPI,2875.0,359500,125.04347826086956,55824.47800692493,-0.8447163337776776
005830,DB손해보험,KOSPI,30838.0,186700,6.05421882093521,598787.914009583,2.2072196786801443
010950,S-Oil,KOSPI,-1659.0,111800,-67.38999397227245,-32213.150961213378,-1.288131940619082
018260,삼성에스디에스,KOSPI,9787.0,162600,16.613875549197914,190036.23174044324,0.1687345125488514
039490,키움증권,KOSPI,29370.0,460500,15.67926455566905,570283.4501090036,0.23840054312487205
323410,카카오뱅크,KOSPI,924.0,25100,27.164502164502164,17941.501801182134,-0.2851991314270066
259960,크래프톤,KOSPI,28593.0,235500,8.236281607386424,555196.2781398277,1.3575213509122193
003490,대한항공,KOSPI,3566.0,26350,7.3892316320807625,69241.76993832845,1.6277711551547798
006260,LS,KOSPI,8677.0,303500,34.97752679497522,168483.12892733482,-0.44486613203514064
007660,이수페타시스,KOSPI,1171.0,126800,108.28351836037575,22737.552607342295,-0.8206817617717485
009830,한화솔루션,KOSPI,-6613.0,51700,-7.817934371692122,-128406.00802079812,-3.483675203497062
180640,한진칼,KOSPI,7459.0,130000,17.428609733208205,144832.9674621402,0.11409974970877072
003230,삼양식품,KOSPI,36468.0,1151000,31.561917297356587,708106.8048544482,-0.3847899175895324
090430,아모레퍼시픽,KOSPI,8606.0,140800,16.360678596328142,167104.50703568556,0.1868217829239031
443060,HD현대마린솔루션,KOSPI,5304.0,182700,34.44570135746606,102988.88046912343,-0.43629512605843773
000100,유한양행,KOSPI,943.0,100300,106.3626723223754,18310.42878627138,-0.8174433819913123
047040,대우건설,KOSPI,570.0,19110,33.526315789473685,11067.80955267729,-0.4208367581016593
